Epoch,Training Accuracy,Training Loss
357,100.0,0.019183999872814942
358,100.0,0.020797609132666064
359,100.0,0.022142903363419463
360,97.0,0.019256338410341415
361,98.0,0.02055955625665471
362,100.0,0.01989761740042013
363,99.0,0.019390114887986178
364,99.0,0.01947449033774319
365,99.0,0.017739295627252433
366,99.0,0.02063063357427988
367,99.0,0.019843397000513505
368,100.0,0.02102884946424941
369,100.0,0.018760488974075996
370,100.0,0.02150911798152568
371,100.0,0.019455872195734022
372,100.0,0.020220290243062967
373,99.0,0.020051515962307653
374,100.0,0.01887107208026767
375,99.0,0.019132216751168017
376,100.0,0.021089942717323236
377,99.0,0.01967514209788836
378,99.0,0.0181177939028809
379,99.0,0.01877884056356076
380,99.0,0.01851502319710562
381,98.0,0.01936257634239155
382,100.0,0.019120694236044074
383,99.0,0.018375316690702068
384,100.0,0.019913333695197554
385,98.0,0.01958340472735775
386,100.0,0.019463464780225575
387,100.0,0.019317259361256826
388,100.0,0.019550991832996564
389,100.0,0.018923818303228472
390,100.0,0.016693932043320578
391,98.0,0.01911492202738979
392,100.0,0.01983960062415766
393,100.0,0.01772110433075189
394,100.0,0.01889282793936824
395,100.0,0.018769157949088063
396,100.0,0.01805974352285072
397,100.0,0.01810093626661304
398,99.0,0.01880531599856719
399,100.0,0.02023745773047267
400,98.0,0.0196641742552553
401,98.0,0.01885315683321096
402,99.0,0.01999962846873435
403,99.0,0.017393162048004646
404,100.0,0.01954519748920575
405,98.0,0.019239837715164566
406,100.0,0.018348506714003936
407,99.0,0.0187161346100523
408,98.0,0.017642826739417312
409,99.0,0.01923977513749075
410,99.0,0.017286261323073024
411,99.0,0.01865816110468586
412,100.0,0.018611700660646116
413,100.0,0.018290567653990973
414,100.0,0.018368493407227408
415,100.0,0.01880248676180296
416,100.0,0.01704089283598781
417,100.0,0.01754191892759991
418,99.0,0.017597301648468903
419,98.0,0.017941246534586147
420,99.0,0.018335482169495664
421,100.0,0.01908081898856229
422,100.0,0.019506207666903114
423,100.0,0.018173849991568812
424,100.0,0.018349691278053797
425,99.0,0.019064490530812085
426,98.0,0.018941217889951078
427,100.0,0.019716513630288923
428,100.0,0.018119129857805092
429,99.0,0.016766286132442475
430,100.0,0.017769467877321102
431,100.0,0.018322917175658707
432,100.0,0.01762304598695967
433,99.0,0.017742567203677027
434,99.0,0.01788063973178699
435,99.0,0.018093378840761336
436,98.0,0.015780017895352407
437,99.0,0.017363781650856253
438,99.0,0.01854292183163731
439,99.0,0.01862552673194538
440,100.0,0.016998220002278686
441,99.0,0.01739994243468876
442,99.0,0.01780511215258836
443,99.0,0.017260742404032497
444,100.0,0.016993768148907597
445,100.0,0.018701632583227667
446,100.0,0.01697629138538711
447,100.0,0.016159513035648464
448,99.0,0.018538576092250878
449,99.0,0.01678852893836544
450,100.0,0.016848968417446788
451,100.0,0.016279184996953213
452,95.0,0.01794527430429298
453,100.0,0.017714721805265676
454,99.0,0.01656589990023349
455,100.0,0.018419438258861193
456,96.0,0.018609630044860145
457,100.0,0.017833628491838074
458,100.0,0.017053964948790964
459,97.0,0.01858154847570404
460,100.0,0.017732436791047804
461,100.0,0.016364434242762703
462,98.0,0.017397231857248698
463,99.0,0.01833268232093057
464,100.0,0.018089432571287034
465,100.0,0.01759904288686812
466,100.0,0.018356675064430117
467,99.0,0.017370553054970515
468,99.0,0.017887264021410373
469,100.0,0.017496289755533023
470,98.0,0.01663260201164424
471,100.0,0.015810103208192837
472,99.0,0.015419312678835315
473,100.0,0.016981153631156
474,100.0,0.017440960871075124
475,99.0,0.016984513315862083
476,98.0,0.01639316250508273
477,96.0,0.0165763791352947
478,100.0,0.019293326665065252
479,100.0,0.016682202685745627
480,100.0,0.017710914744457115
481,100.0,0.01637796877985238
482,100.0,0.01716638362064259
483,100.0,0.016233906186559278
484,100.0,0.01681768773739653
485,100.0,0.01623421814139874
486,99.0,0.0159687701217869
487,99.0,0.01647919202041521
488,100.0,0.015698621362632063
489,100.0,0.01680857228571161
490,100.0,0.018158420361723982
491,99.0,0.01684396531660847
492,100.0,0.01765433244445982
493,100.0,0.01610855914390413
494,100.0,0.01576543115022408
495,98.0,0.016482055159261412
496,100.0,0.01716917528756312
497,99.0,0.015997392126373598
498,100.0,0.0165793877525842
499,100.0,0.016142765211516235
500,99.0,0.015055577179009561
501,99.0,0.016450471082874476
502,100.0,0.01655093640120564
503,98.0,0.016675432278995383
504,100.0,0.01635350325110873
505,99.0,0.016039572666995808
506,100.0,0.016041571298737834
507,100.0,0.016406383678986457
508,100.0,0.017704163176531437
509,99.0,0.016719983090709625
510,99.0,0.015314992471054818
511,100.0,0.016225126336503307
512,100.0,0.016325686061706316
513,100.0,0.015916262646339115
514,100.0,0.017006944754393773
515,97.0,0.015099440186362093
516,100.0,0.016311137841597278
517,100.0,0.014878589951925581
518,99.0,0.01596561450625207
519,99.0,0.01591200991674365
520,100.0,0.01642581863805996
521,99.0,0.016815668320365754
522,99.0,0.016260624534552334
523,100.0,0.015153135442863761
524,100.0,0.01584731622354108
525,97.0,0.017394669379500557
526,100.0,0.015516201504457665
527,99.0,0.014985042802776054
528,99.0,0.01577445545726126
529,100.0,0.014230312937822115
530,100.0,0.014947164528506012
531,98.0,0.01786422082761419
532,99.0,0.014604880102027285
533,100.0,0.01526018557936671
534,100.0,0.01532949486822569
535,99.0,0.015788565358149452
536,100.0,0.015524792284340947
537,100.0,0.015907527044885985
538,100.0,0.015835741771079482
539,98.0,0.0156592609787549
540,100.0,0.015435159444004967
541,100.0,0.01459108100294543
542,98.0,0.015405616313122058
543,100.0,0.0155882956085649
544,99.0,0.015359065345619457
545,99.0,0.015086584951228967
546,99.0,0.014637102567309436
547,100.0,0.016628490954281004
548,100.0,0.014864367527989088
549,100.0,0.013845366863533855
550,100.0,0.015582215088846472
551,100.0,0.014739933910592905
552,100.0,0.015498565306988893
553,97.0,0.016211185386782744
554,100.0,0.016376049602840795
555,99.0,0.01650901292533187
556,100.0,0.01554532036219219
557,100.0,0.017446149084935313
558,99.0,0.015289853158083132
559,98.0,0.015422272831456212
560,98.0,0.013974329399685908
561,99.0,0.016198959347893834
562,100.0,0.015437922987051328
563,100.0,0.01487824416217336
564,100.0,0.016853467570072098
565,100.0,0.015186985021961542
566,100.0,0.014400505376470392
567,100.0,0.014672588167474411
568,100.0,0.015199159086720707
569,100.0,0.015262519943644293
570,100.0,0.015230514137247155
571,100.0,0.015120548145860084
572,100.0,0.015188382941996679
573,100.0,0.01538495033213015
574,100.0,0.015440966210856761
575,99.0,0.016186794351863987
576,100.0,0.015344922022365304
577,97.0,0.014954495371590989
578,99.0,0.014740032340099182
579,99.0,0.01435682582288185
580,100.0,0.014349722470651614
581,100.0,0.01427273021285752
582,100.0,0.01498099619375959
583,100.0,0.015525740224717689
584,100.0,0.014466513154341859
585,100.0,0.015613054803470732
586,100.0,0.01538965841245954
587,100.0,0.01591389510555018
588,100.0,0.013173553500473644
589,99.0,0.014613370081230339
590,100.0,0.014347420284557301
591,99.0,0.01490731753946117
592,99.0,0.01327561577267261
593,100.0,0.015514320782167489
594,100.0,0.014527071023718842
595,99.0,0.013773451788341239
596,100.0,0.014791540778848382
597,98.0,0.013952860456411144
598,100.0,0.01342390877592455
599,100.0,0.014394635052934366
600,99.0,0.014178740067994416
